prompt,response
What is the University’s policy against hazing?,"As per University policy, hazing is any action taken or situation created which produces mental or physical discomfort, embarrassment, harassment, or ridicule. The University of New Haven has a strict no-hazing policy.  Before becoming a new member of a Greek organization, all students will attend an anti-hazing workshop where they learn about hazing, how to spot hazing, and how to report hazing."
How can I be supportive as my student joins a Greek organization?,"We hope you will learn as much as you can by asking your student questions before and as they join a Greek organization at the University of New Haven. Many Greek organizations provide written statements concerning activities, finances and policies; students should be encouraged to read this information by visiting the chapter’s national website.  Many of the Greek organizations also host family events and we would encourage you to participate with your student to gain insight of their experience."
What type of help does the University of New Haven offer to students in their career development?,"The University of New Haven has a full-service, comprehensive Career Development Center (CDC) that assists students with all aspects of their career development.
We work with students in finding the right major and career path, conduct educational programs to inform students about career types, job market conditions, and the various paths to success; additionally, we prepare students for their experiential opportunities through one-on-one coaching, resume/cover letter preparation, interviewing practice, and how to locate opportunities. The CDC also holds career fairs, networking events, on-campus interview/recruiting events, maintains alumni contacts, and helps prepare students for graduate school. The friendly, knowledgeable, and student-focused staff works closely with students to develop an individual career action plan that will lead to life-long career success. 
Through our Peer Career Advisors, a group of students trained to provide career assistance to their fellow students, career assistance is available in the residence halls, classrooms, library, and other locations around campus, including during evenings and weekends."
My student is having trouble selecting a major. Is guidance offered?,"Yes. The Career Development Center has both people and resources to assist students in choosing a major or an academic course of study. Our experienced Career Advisors work individually with students to identify areas of interest and strength, and have conversations to begin focusing on academic programs that match. Your student can take FOCUS, a computer-assisted career guidance system that will suggest potential career areas to explore based on interests, abilities, personality, and values. It is always recommended that your student meet with a Career Advisor after taking FOCUS to discuss results and compose a plan for follow-up action. We also offer a one-credit course every Fall semester called ""Discovering Majors and Careers"" that guides students through the major selection process with weekly class meetings, career assessment activity, career exploration assignments, and conversations to illuminate major and career choices for each student.  Recently we became the first university in the nation to utilize an algorithm-based candidate matching system that allows employers to connect with students with the major, skills, and qualifications they seek, creating significant engagement opportunities for students with our employer partners."
What type of connections to local and regional employers does the University have?,"The Career Development Center partners with local, regional and national companies and organizations in for-profit, not-for-profit and governmental sectors to ensure that we are providing opportunities for students in every major. The primary focus of this relationship development is to build the on-campus recruiting program that directly connects employer partners with students for internship and job opportunities. Each year we host over 300 organizations on campus for recruiting purposes, post 1500+ jobs and internships, bring alumni back to campus to connect with students, and partner with faculty to develop contacts for students. We conduct a number of events designed to provide connections between students and employers including three major annual on-campus career fairs, employer information tables and sessions, on-campus interviewing, networking events, seminars, and professional development workshops, all free of charge for students."
My student needs help finding an internship. Is there any assistance available?,"Through our employer and alumni connections, on-campus recruiting programs, career fairs, and the hundreds of internship opportunities posted to our job posting site, Charger Link, the Career Development Center can absolutely help students locate internship opportunities. Aside from our direct connections, we employ a variety of techniques to teach students how to locate positions in their majors as well as companies in which they are interested. Students also connect with internships through their academic departments, with support from the CDC."
My student needs to have a resume written. Are there resources available?,"The Career Development Center assists with resumes by offering students opportunities to attend a resume-writing workshop, to submit their resume online for review, and to meet with a Career Advisor to learn how to build a great resume from scratch. Additionally, we partner with faculty across campus to conduct in-class resume workshops and work with staff, student groups, Athletics, and other programs to integrate resume and career development into their programs. The CDC staff has experience reviewing resumes in all degree programs, and stays abreast of employer preferences and feedback regarding resumes to ensure our students are successfully conveying their experiences and skills to employers in a format that produces results."
Does the University of New Haven offer assistance with interviewing?,"The Career Development Center has several resources available to students to help them learn and master interviewing skills. Students meet with a Career Advisor to learn the strategies behind a successful interview and begin practicing those strategies right away. Our staff will review important interviewing questions and conduct a mock interview so students get immediate feedback on their performance. Additionally, we offer an online mock interview system where students record themselves answering questions and submit those videos for review by the CDC staff.  Our Peer Career Advisors work with student clubs and organizations to provide interview training and workshops. Most importantly, through collaborations with several academic programs, students participate in professional mock interview events where employers and alumni come to campus to conduct mock interviews for students, providing a hands-on simulation with immediate feedback for students to practice this vital career management skill."
Is there any assistance available to my student who is looking to apply to graduate school?,"Yes. The Career Development Center helps students begin the application process for graduate school by providing information on how to research graduate and professional schools, exam preparation resources, personal statement reviews, and general application tips. The CDC, in collaboration with several departments on campus, hosts an annual Graduate School Week with a series of events, workshops, and information sessions to help students understand the graduate school, application process, write their personal statements, become acquainted with admissions requirements and exams, and learn how to finance graduate school. The CDC also collaborates with faculty advisors for pre-law and pre-med for specific student needs in applying to related professional programs. Faculty also serve as valuable resources for students to learn about graduate school and locate programs that match with student career and academic goals."
For more information:,Click here for more information on the Career Development Center.
What is the purpose of the Myatt Center for Diversity and Inclusion?,"The Myatt Center for Diversity and Inclusion assists the University in promoting cultural diversity, awareness, and sensitivity throughout the campus community.  Its programs, services and activities promote cultural identity and understanding within a multicultural environment."
What kind of resources and assistance does the Myatt Center for Diversity and Inclusion provide students?,"The Center can assist students with finding information about scholarships, internships, conferences and events that are of special interest to women, students of color, members of the LGBTQ (Lesbian, Gay, Bisexual, Transgender and Queer/Questioning) community, etc. The Center also maintains and advertises cultural events taking place in the New Haven area."
Where is the Myatt Center for Diversity and Inclusion located?,The Center is located on the first floor of Gerber Hall.
My student is looking for information about Jewish culture (OR other...).  Can the Center help my student?,"Yes!  The Center is has a Diversity Resource Center which will feature books, DVDs, CDs, magazines, and journals where students, faculty and staff can find information on topics related to ability, race, gender, religion/spirituality, and sexual orientation. We are always open to recommendations!"
"Is the Myatt Center for Diversity and Inclusion only for female or LGBTQ students, students of color, etc.?","No; any and all members of the University community, regardless of background are welcome and encouraged to stop by and chat with the Director, check out the Resource Center, and attend Myatt Center for Diversity and Inclusion events!"
What types of programs and events does the Myatt Center for Diversity and Inclusion sponsor?,"During the past year, Myatt Center for Diversity and Inclusion staff members have presented activities and workshops in classrooms and residence halls and co-sponsored programs with the Immigration Services Office, the Center for Student Engagement, Leadership and Orientation, and various student organizations.  In the coming months, the Myatt Center for Diversity and Inclusion plans to sponsor events such as guest speakers, movie nights, cultural craft nights, and poetry slams.  If there is a specific event your student would like to see, please let us know!"
"Are there student groups which celebrate various aspects of diversity (i.e. religion, ethnicity, gender, sexual orientation)?","The University of New Haven has many clubs and organizations to choose from!  Examples of student organizations include the following:

Crusaders for Christ (CRU)
Black Student Union (BSU) 
Caribbean Student Association (CSA) 
Cultural Greek-Lettered Organizations
Hillel 
International Student Association (ISA) 
Latin American Student Association (LASA)
MOGAIlize (The University of New Haven's organization for trans-identified students and their allies)
National Association for the Advancement of Colored People (NAACP)
National Society of Black Engineers (NSBE)
People Rejoicing in Diversity Everywhere (PRIDE)
(The University of New Haven's Gay, Lesbian, Bisexual, Straight Allies organization)
SPELL (Student Pagans Educating, Leading and Learning)"
For more information:,Click here for more information on the Myatt Center for Diversity and Inclusion and International Student Services.
What is the One Stop?,"Our office is comprised of the Bursar’s Office, Office of Financial Aid, and the Office of the University Registrar.  We are dedicated to assisting you with your student billing, financial aid, and registration questions."
How do I contact the One Stop?,"Bursar's Office
					Tuition, Billing, and Payment Processing
bursar@newhaven.edu
(203) 932-7217


Financial Aid
					Grants, Scholarships, and Loans
financialaid@newhaven.edu
(203) 932-7315


Office of the University Registrar
					Registration, Academic Records
registrar@newhaven.edu
(203) 932-7309"
What are the office hours?,The office is currently open Monday through Friday from 8:30 a.m. – 4:30 p.m.
How can I view my bill?,"Students can access ePay by logging in to myCharger and clicking the ePay icon at the top of the page.  
myCharger


					PLEASE NOTE: Only students can access the portal. Once a parent/guardian is set up as an authorized user, they will receive their own personal login credentials."
What happens if I do not pay my bill by the due date?,"If your payment is not received by the designated due date, you may be assessed a late fee as well as have a financial hold placed on your record. This hold will restrict you from scheduling/registering for future classes, viewing grades, requesting transcripts, and receiving your diploma."
What is ePay?,"All billing for tuition, fees, housing, and food is processed electronically through ePay, the University’s online billing and payment system. ePay is available 24 hours a day, seven days a week for your convenience. Each time a new bill is available, students are notified through their University email account. Parents and families will only be emailed if they are set up as an authorized user. 
				

With ePay you can: 


Access your current and previous tuition statements 
View current account activity 
Make payments in a secure environment 
Authorize other payers (parent, guardian, etc.) to access your tuition account 
Sign up for text message notifications 
Enroll in direct deposit for student refunds"
How can my parent/family member have access to my bill?,"In order for others (parents, family members, etc.) to discuss a student’s tuition account with the One Stop Office staff, they must be set up as an authorized user.  Each authorized user will receive their own personal login credentials for access to ePay. Authorized users will also be sent an email notification each time a new statement is available."
Where can I mail my check?,"All checks should be made payable to the University of New Haven, include the student’s name and ID number, and can be mailed to: 
				

					University of New Haven 
One Stop – Bursar’s Office
300 Boston Post Road 
West Haven, CT 06516"
What is the General Student Fee?,"The general fee provides a partial contribution supporting essential infrastructure, facilities and institutional services necessary to promote student learning. This fee covers access to health and counseling services and it supports student government and club activities. In addition, this fee supports technology infrastructure initiatives including, but not limited to, networks, electronic information resources, computer laboratories and smart technology classrooms. This fee also covers facility enhancements and student services such as access to the Beckerman Recreation Center. The general fee is charged for each semester in which a student enrolls."
Why am I being charged a lab fee if I’m not taking a lab?,"Although the course in question does not necessarily have a laboratory component, there is an additional fee required to operate the class.  This fee is used to support courses requiring specialized materials and/or a specialized environment. Lab fees are noted on the Academic Calendar."
What is a tuition differential fee?,"Tuition differentials are additional fees associated with particular courses. These courses (usually engineering, chemistry, and computer science courses) require additional resources to operate.  Tuition differential fees are noted on the Academic Calendar."
Why is my financial aid not showing on my bill?,"If you applied for financial aid and it is not included on your bill, be sure you Accepted or Declined all offered financial aid awards online and that you submitted all required financial aid documents.  Students can view their financial aid awards and their individual required documents through the My Financial Aid system via the myCharger portal. Once logged in, click on the My Financial Aid icon at the top of the page.
myCharger"
What is the difference between a subsidized loan and an unsubsidized loan?,"Subsidized loans do not accrue interest while the student is enrolled at least half-time. With an unsubsidized loan, interest begins to accrue once the loan is processed and disbursed to the school."
What loan options are available?,"Federal Direct Student Loan:  The student is the borrower of this loan and the amount for which a student is eligible will appear on the student's financial aid award. 
				

Federal Direct Parent Loan (PLUS): The parent is the borrower of this federal credit-based loan
				

Private Student Loan:  This private, credit-based loan is borrowed by the student and a creditworthy cosigner.  This loan is offered through many lenders, such as banks, credit unions, state agencies, and other financial institutions."
Why is my Federal loan amount less than what I accepted on my financial aid award?,"The government deducts a fee from each disbursement of the Federal Direct Student Loan as well as the Federal Direct Parent Loan (PLUS), so the school will receive an amount that is a little less than the amount of the loan that is awarded."
How does my parent apply for a Federal Parent Plus Loan (PLUS)?,"Parents sign into  www.StudentLoans.gov using the FSA ID (username and password) the parent used to sign the FAFSA.   Select the option ""Apply for a PLUS"" then complete and submit the application.  If approved, parents will need to ""Complete Loan Agreement for a PLUS Loan (MPN)."""
What happens if my parent is not approved for the PLUS loan?,"If a parent is not approved for the Federal Direct Parent Loan (PLUS), the parent may: 

Appeal the decision with the U.S. Department of Education. 
Obtain a creditworthy endorser. 
Choose to ""Not Pursue the PLUS Loan."" With this option, the student is eligible to borrow an additional $4,000 for the year (as a freshman or sophomore) and $5,000 for the year (as a junior or senior) in the Unsubsidized Federal Direct Student Loan program. 
Have the other parent apply for the Federal Direct Parent Loan (PLUS) in their name."
What should I do if I am expecting an outside scholarship?,"Make sure you send to the One Stop Office, a copy of the notification you receive indicating you have been selected as the scholarship recipient."
Why am I being charged for health insurance?,"All full time undergraduate students and all international students are automatically charged for the University sponsored health insurance.  Domestic students will have an opportunity to waive this coverage, if already covered by another health insurance plan.  The University health insurance plan is mandatory for all international students."
How do I waive the University sponsored health insurance?,The waiver can only be completed online at studentcenter.uhcsr.com/newhaven.
What if I missed the health insurance waiver deadline?,"Once the waiver deadline has passed, you will not be able to waive coverage until the next academic year. Failure to complete the online waiver request form by the specified date will obligate the student to pay for the coverage indicated on his/her student account."
Why might my student come to the Dean of Students Office?,"The Dean of Students Office provides support and advocacy for students. We answer questions, provide information about and referrals to campus resources; assist in students’ adjustment to the University; promote programs which address student needs, concerns and interests; and help students in resolving any type of problems.

					We challenge students to conduct themselves with integrity in both personal and academic matters and hold them accountable for their decisions and actions. Our goal is to foster a community of mutual respect where students are actively engaged members of the university community. Students should consider us a campus resource and visit us often."
What is the Charger Compact and why should that be important to my student?,"The Charger Compact, is the University of New Haven's statement of community values. 

					As a University community, there are values and expectations that we all share which provide the framework for how we interact as individual members of the community and speak to who we are and what we stand for as a community. To read the Charger Compact click on the link provided."
What is the CLE and how can my student be involved?,"The Competency Learning Experience (CLE) is a student development framework within the Division of Student Affairs, focused on engaging and developing students in six targeted competencies. The framework provides each department the tools to educate and develop students in conjunction with departmental missions and initiatives.
The CLE framework is designed to prepare individuals to lead successful lives as students, citizens, and professionals, both during their academic course of study and after, with a special focus on their career success. It is grounded in research and academic study in competency-based education and is pedagogically driven to develop students in skills and competencies that are the foundation for academic, personal, and professional success. The six competencies we focus on are Teamwork, Resilience, Communication, Global and Cultural Competence, Leadership and Critical Thinking."
"I pay for my student to attend college, why do I need my student to sign a FERPA Waiver to have access to their information?","Once a student turns 18, they are considered an adult. As an adult, the student needs to sign a FERPA waiver to allow certain people to have access to their records, if they so choose. We understand that you are their family and are in charge of paying the bills, but this is a federal requirement for all students in all colleges, not just here at the University of New Haven.
Your student can access the form through their MyCharger account and complete it online."
"I need assistance connecting with someone about Financial Aid, Registration or Bill Paying, can you help me?","Contact the Dean of Students office with your name, phone number, student name, student ID and the context of your concern, and a member of the appropriate staff will get back to you."
"My student is having an issue with their living arrangement or their roommate, what do I do?",Your student should contact the Office of Residential Life (203) 932-7076. They will be able to guide your student with what steps need to be taken.
Who do I inform that my student is on a 504 plan and needs accommodations at college?,You can contact our Accessibility Resource Center (ARC) (203) 932-7332. They will be able to tell you what they need and where to find the forms to fill out.
My student is in the hospital. Who do I need to tell and what do I need to do? How will this affect their classes?,"If your student has been hospitalized or sent to the hospital for a short-term medical condition, please contact Health Services (203) 932-7079 and inform them. They will let you know what they need and how to proceed.
Health Services will also notify the student’s faculty about attendance issues regarding their medical situation."
Our family experienced a recent emergency or death and our student needs to be with family at this time. Who do we inform so they can notify the student’s faculty to excuse their absences?,The Dean of Students office should receive all emails or phone calls for family emergencies. We will send an email to the student’s faculty/staff to inform them of the student’s emergency. We will ask that the faculty/staff accommodate the student during this time.
"My student has a medical issue and they will need extra support temporarily, what do I need to do to get temporary accommodations?","Please contact the Accessibility Resource Center (203) 932-7332 and they will be able to help with temporary accommodations. 
Also, please contact Health Services (203) 932-7079 and inform them as they need to be aware in case of any medical issues."
How should my student handle a concern they have with a faculty member?,Your student can come to the Dean of Students office located on the 2nd floor in Bartels Hall and ask for a Student Grievance Form. We will explain the form to them and what the next steps will be.
I am concerned my student isn’t adjusting to college. I spoke with them and they are upset. I am also not sure if they are attending classes. Can you help?,"The Dean of Students Office will also reach out to students to personally meet with them and offer support or connect them to campus services. 
 If your student is a residential student, each residence hall has numerous Resident Assistants (RAs). We will contact the Office of Residential Life who will work with your student’s RA to develop a plan of action that best supports your student’s needs."
Why does my student have a hold on their account?,"Students have holds on their account for various reasons. The Dean of Students office is not the only office that puts holds on student’s accounts.
The Dean of Students office will place a temporary hold on an account if a student didn’t complete a mandatory online new student course or if they received a sanction that they have yet to complete. Once they complete the course or sanction and notify us, the hold will be removed."
"I received a letter regarding a conduct offense, what does that mean?",We send letters to families regarding student conduct to notify them of drug/alcohol violations for students under the age of 21 and ask them to partner with us to help educate their student on the University policy.
I am a former student and applying to jobs that are requesting my disciplinary information. Can you help me with this?,Please send us the release form from the company you are applying to. This is often accompanied with a form for the Dean to fill out and send directly back to the company.
"I am transferring to another school and need my disciplinary information transferred to another University, what do I need to do?","Please fill out the transfer form and send it to us to complete the disciplinary section and return it directly to the school. Please make sure to include the fax, email or mailing address of the place to send it to."
How will I know if my son or daughter is subject to a conduct hearing?,"As the family member of a student at University of New Haven, you may have numerous questions and concerns about the process that addresses student conduct. The Dean of Students Office administers this process, and they have general information about the community standards while being a member of the Charger Community. The Dean of Student’s staff is always available to discuss general information about the student conduct process. 
It is important to know that FERPA prohibits us from releasing any information about a student’s involvement in the student conduct process without the student’s permission, even to family members. If a student has designated his/her parent or family member as a FERPA designee for Student Conduct within the FERPA Designee Pin Page, we may speak to the parent or family member about a student’s student conduct matters. The University always reserves the right to request additional written consent from the student at their discretion. Please visit the Student Handbook and Code of Conduct here."
What is my role in the student conduct process? How can I help my student?,"The Dean of Students Office encourages you to help your student by being supportive throughout the conduct process. You can help by identifying and providing necessary interventions to support your student’s success at University of New Haven. Please encourage and expect that your student will set up appointments, attend meetings, and fulfill any sanctions they may receive."
How are sanctions determined?,"Conduct cases are considered on an individual basis with each involved student. The nature and severity of the offense, as well as a student’s conduct history, is taken into consideration when determining sanctions if a student is responsible for violating the Code of Conduct."
What happens if my student is accused of violating the Academic Integrity Policy?,"Students who are alleged to have violated any provision of the University’s academic integrity policy first meet with the instructor for the course to review the allegation and proposed penalty. Students have the option to accept responsibility for the violation, the sanction, or to request a review by the Dean of Students Office. In cases where students and faculty do not agree on the matter, the case may be referred to the Academic Integrity Board. This hearing body conducts a formal hearing on the matter and renders a decision with recommended sanction."
What are the university policies on alcohol and substance use?,Read the Drug Free Policy here.
Does the University’s alcohol and drug policies apply off campus?,"Yes, students are expected to abide by University alcohol and substance use policies on and off campus."
How does the University educate students on alcohol and drug issues?,"Incoming students are required to complete an online alcohol and drug course before the end of their first semester of enrollment. Additionally, the University offers a peer education program which focuses on education, prevention, and harm reduction for underage and high-risk drinking. Finally, programming on alcohol and drug awareness occurs throughout the year, but particularly during National Collegiate Alcohol Awareness Week and Alcohol Awareness Month."
What is Title IX? How does it relate to sexual discrimination/violence?,"Title IX of the Education Amendments of 1972 states, ""No person in the United States, shall, on the basis of sex, be excluded from participation in, be denied the benefits of, or be subjected to discrimination under any educational program or activity receiving federal funding assistance."" (20 U.S.C. §1681 & 34 C.F.R. Part 106) Title IX is a federal regulation that requires institutions to provide victims of sexual misconduct support and assistance in obtaining medical treatment, counseling, grievance procedures, and other resources as necessary. The University has a comprehensive Title IX & Sexual Misconduct Policy, which provides extensive definitions, sanctions, and grievance policy procedures, in compliance with these regulations."
Who is the Title IX Coordinator? How can they help my student?,"The University of New Haven’s Title IX Coordinator is Barbara J. Lawrence, vice president of institutional equity and diversity and chief diversity officer. She is responsible for coordinating the University’s compliance with Title IX, including overseeing all complaints of sex discrimination and identifying and addressing any patterns or systemic problems that arise during the review of such complaints. As the Title IX Coordinator, she can refer your student to the most appropriate resources and support services. Additionally, she can assist your student in learning about their reporting options through the University or local law enforcement. Incidents of retaliation are also reported to the Title IX Coordinator."
"I recently learned (they told me, I overheard a conversation, I witnessed an incident…) that my student was assaulted/stalked/abused at the University, what should I do?","Listen, and provide a non-judgmental space for your student to confide in. It is likely that your student will be faced with a lot of options and may be conflicted about how to move forward. It is important that you help s/he feel supported in whatever choice they may take, whether s/he files a formal complaint with the Title IX Coordinator, chooses to file criminal charges with the police, or seeks assistance from other campus resources (Health Services, Counseling & Psychological Services, College Advocate…). 
Help your student find resources through the University’s Title IX & Sexual Misconduct Policy, found online at: www.newhaven.edu/sexualmisconduct. You will find on-campus, local, and national resources within this policy that can be utilized by you and/or your student during this difficult time."
"My student may have been assaulted a while ago (months, years, etc.), can they still report?",The University does not have a time restriction on complaints of sexual misconduct. Students are encouraged to still take advantage of the support systems available and to consider making a complaint when they feel ready to do so.
"My student was assaulted on a study abroad trip, what options do they have?","As study abroad trips usually occur in international locations, the resources available at the time of the incident may be substantially different than those available on campus. Whether they are still abroad or have returned from their trip, s/he may contact Deputy Title IX Coordinator, Ophelie Rowe-Allen at orallen@newhaven.edu, for assistance."
Is there someone that can assist my student in contacting the police?,"University Police Department, the Dean of Students Office, and the College Advocate are all available to assist students in contacting the correct police department (based on jurisdiction and location of the misconduct). University PD and the Rape Crisis Center of Milford’s College Advocate can advise students on what to expect from a criminal police investigation."
Does my student have to immediately decide to press charges?,"No, but to keep legal options open, the University advises that it may be beneficial to receive medical attention and/or a sexual assault evidence kit. The College Advocate from the Rape Crisis Center of Milford, is available to accompany students to the hospital and support them throughout the medical and/or criminal process. If a reporting party would prefer to not undergo a rape kit, they may still want to seek medical treatment, emergency contraception, STI testing/treatment, and/or pregnancy testing through the University’s Health Services Center.
A sexual assault evidence collection kit may be administered at Milford Hospital, or Yale New Haven Hospital. If a reporting party chooses to undergo a rape kit, they are not required to cooperate with law enforcement or pursue criminal charges. However, only DNA evidence collected by a rape kit is admissible in court. This is a free service in the state of CT."
Is there an option that allows my student to report a sexual misconduct incident confidentially?,"Yes. Students may choose to speak to a licensed professional in Health Services, Counseling & Psychological Services, or a pastoral counselor in complete confidence. Students may choose to report anonymously online through the LiveSafe application or the Report It website. Please note that regardless of the form utilized, the information will be referred to the Title IX Coordinator for inquiry and investigation as appropriate. Community members are encouraged to include as many details as possible for all anonymous reports."
What types of assistance/remedies are available to my student?,"When a student makes a formal report of sexual misconduct, they will be informed of their options for reasonable accommodations and appropriate remedies to secure their safety and ability to engage in educational opportunities. Remedies may be in the form of ""no contact"" orders, changes in housing assignments and/or academic schedules. For more information on informal remedies/accommodations, contact Ashley Dunn, Director of Title IX VAWA Compliance at (203) 932-7445 or adunn@newhaven.edu."
Does my student have to tell the University who assaulted them?,"While the University does not require that a student disclose their responding party (""alleged""), it is important to note that withholding the responding party’s identity may affect the University’s ability to conduct a comprehensive inquiry and/or investigation."
Why should I study abroad?,"There are many reasons to study abroad! Regardless of why or where you go, we can guarantee it will be an experience you will never forget. 
Some of the many benefits to study abroad are:

Learn about Different Cultures and Perspectives
See the World
Develop Confidence
Build Your Resume
Impress Employers
Gain Independence
Challenge Yourself
Learn Beyond the Classroom"
Who is eligible to study abroad?,"Students who are in good academic standing, without any disciplinary or financial holds are eligible to study abroad."
When should I study abroad?,"There is no standard time when it is best to study abroad. The best time to study abroad depends on the individual and their degree program. You should let your academic advisor know if you are interested in studying abroad as well as visit our office. We can all work together to help you plan for an experience abroad.   
Click below to view a sample plan for completing your degree in eight semesters, including one semester abroad.
Learn More"
When should I apply?,Applications for study abroad are submitted and reviewed the semester prior to going abroad. The deadline for studying abroad in the Fall or Academic Year is April May 2nd. The deadline for Spring semester programs is October 26th.  The deadline for summer programs is February 3rd.
How do I choose a study abroad program?,"There are a number of different options when it comes to picking a program. A student should consider their academic, profession and personal goals when selecting a program. Students will need to talk to their academic advisor to determine if a semester or short-term program is best suited to their academic program. Students can study through the Tuscany Campus, Exchange programs and our network of providers."
How do I get started?,The first step in the process is to attend an information session or meet with an advisor in the Office of Study Abroad to discuss where you want to go and to learn more about the process. All students who wish to study abroad must apply through the University of New Haven’s study abroad website. If you are applying to a third-party provider you must wait for university approval first.
Will I graduate on time if I study abroad?,"Most students who study abroad still graduate on time. If you’re planning to study abroad bring it up with your advisor and create an academic plan that will include your study abroad experience. Sticking to this plan will help to assure that you graduate on time. 
Click below to view a sample plan for completing your degree in eight semesters, including one semester abroad.
Learn More"
Will the credits I earn abroad transfer back to the University of New Haven?,All students who study abroad must complete a course approval form as part of the application process. You will work with your academic advisor to determine how the courses you take abroad will transfer back to the University of New Haven.
Can I study abroad if I don’t speak a foreign language?,Courses in our study abroad programs are generally taught in English. Some programs require that you take the language as part of your semester in order to better engage with the host community. For students who wish to specifically pursue language studies there are definitely options for them as well! We recommend that students take language while abroad (and before they go if possible!) in order to make the most of your experience and to be able to really get to know individuals form the place you will be living.
Can I go study abroad more than once?,"If you can fit another program into your academic plan, you can easily go abroad more than once. Make sure to talk to your Academic Advisor and a Study Abroad Advisor to ensure another trip abroad will be beneficial."
Where will I live while abroad?,"Housing options vary by program. Residence hall and hotel/apartment living with meal plans are available when studying at the Prato campus. For other programs, students are housed either in hotels, shared apartment, dormitories or homestay families."
Will there be a pre-departure orientation?,Yes! Students are REQUIRED to attend the Pre-Departure Orientation. It is held on campus during the semester prior to their semester abroad. Friends and family are welcome to join.
